date,operator,flight_phase,flight_type,country,region,total_on_board,crew_on_board,crew_fatalities,passengers_on_board,passenger_fatalities,total_fatalities,total_survivors,crash_cause
1983-11-08 00:00:00,TAAG Angola Airlines - Transportes Aéreos de Angola,Takeoff (climb),Commercial,Angola,Africa,130,7,7,123,123,130,0,Terrorism
1953-06-18 00:00:00,United States Air Force - USAF,Landing (descent or approach),Military / Government,Japan,Asia,129,7,7,122,122,129,0,Technical Failure
2002-04-15 00:00:00,Air China,Landing (descent or approach),Commercial,South Korea,Asia,166,11,8,155,121,129,37,Human Factor
1980-01-21 00:00:00,Iran Air,Landing (descent or approach),Commercial,Iran,Asia,128,8,8,120,120,128,0,Technical Failure
2012-04-20 00:00:00,Bhoja Airlines - Bhoja Air,Landing (descent or approach),Commercial,Pakistan,Asia,127,6,6,121,121,127,0,Human Factor
1967-04-20 00:00:00,Globe Air,Landing (descent or approach),Commercial,Cyprus,Europe,130,10,9,120,117,126,4,Human Factor
1975-08-20 00:00:00,CSA Czech Airlines - Československé Státní Aerolinie,Landing (descent or approach),Commercial,Syria,Asia,128,11,11,117,115,126,2,Human Factor
1989-09-03 00:00:00,Cubana de Aviación,Takeoff (climb),Commercial,Cuba,Central America,126,11,11,115,115,126,0,Human Factor
1996-11-23 00:00:00,Ethiopian Airlines,Landing (descent or approach),Commercial,Comoros Islands,Africa,175,12,6,163,119,125,50,Terrorism
2006-07-09 00:00:00,S7 Airlines,Landing (descent or approach),Commercial,Russia,Asia,203,8,5,195,120,125,78,Human Factor
1966-03-05 00:00:00,British Overseas Airways Corporation - BOAC,Flight,Commercial,Japan,Asia,124,11,11,113,113,124,0,Weather
1994-01-03 00:00:00,Baikal Airlines,Flight,Commercial,Russia,Asia,124,9,9,115,115,124,0,Technical Failure
1968-04-20 00:00:00,South African Airways -SAA - Suid Afrikaanse Lugdiens - SAL,Takeoff (climb),Commercial,Namibia,Africa,128,12,12,116,111,123,5,Human Factor
1973-07-11 00:00:00,VARIG - Viação Aérea Rio Grandense,Landing (descent or approach),Commercial,France,Europe,134,17,7,117,116,123,11,Technical Failure
1996-02-29 00:00:00,Faucett,Landing (descent or approach),Commercial,Peru,South America,123,6,6,117,117,123,0,Human Factor
1972-05-18 00:00:00,Aeroflot - Russian International Airlines,Landing (descent or approach),Commercial,Ukraine,Europe,122,7,7,115,115,122,0,Technical Failure
1973-10-13 00:00:00,Aeroflot - Russian International Airlines,Landing (descent or approach),Commercial,Russia,Asia,122,8,8,114,114,122,0,Technical Failure
2015-06-30 00:00:00,Indonesian Air Force - TNI-AU Tentara Nasional Indonesia - Angkatan Udara,Takeoff (climb),Military / Government,Indonesia,Asia,122,11,11,111,111,122,0,Technical Failure
2017-06-07 00:00:00,Myanmar Air Force - Tatmadaw Lei,Flight,Military / Government,World,World,122,14,14,108,108,122,0,Unknown
1965-05-20 00:00:00,Pakistan International Airlines - PIA,Landing (descent or approach),Commercial,Egypt,Africa,127,13,13,114,108,121,6,Human Factor
2005-08-14 00:00:00,Helios Airways,Flight,Commercial,Greece,Europe,121,6,6,115,115,121,0,Human Factor
1983-07-11 00:00:00,Transportes Aéreos Mercantiles Ecuatorianos - TAME,Landing (descent or approach),Commercial,Ecuador,South America,119,8,8,111,111,119,0,Human Factor
2002-02-12 00:00:00,Iran Airtour,Landing (descent or approach),Commercial,Iran,Asia,119,12,12,107,107,119,0,Human Factor
1963-11-29 00:00:00,Trans-Canada Air Lines - TCAL,Takeoff (climb),Commercial,Canada,North America,118,7,7,111,111,118,0,Technical Failure
1972-06-18 00:00:00,British European Airways - BEA,Takeoff (climb),Commercial,United Kingdom,Europe,118,9,9,109,109,118,0,Human Factor
1966-01-24 00:00:00,Air India,Flight,Commercial,France,Europe,117,11,11,106,106,117,0,Human Factor
2005-10-22 00:00:00,Bellview Airlines,Takeoff (climb),Commercial,Nigeria,Africa,117,6,6,111,111,117,0,Technical Failure
1993-11-20 00:00:00,Avioimpex,Landing (descent or approach),Commercial,Macedonia,Europe,116,8,8,108,108,116,0,Human Factor
2003-07-08 00:00:00,Sudan Airways,Landing (descent or approach),Commercial,Sudan,Africa,117,11,11,106,105,116,1,Technical Failure
2014-07-24 00:00:00,Swiftair,Flight,Commercial,Mali,Africa,116,6,6,110,110,116,0,Human Factor
1972-05-05 00:00:00,Alitalia - Linee Aeree Italiane,Landing (descent or approach),Commercial,Italy,Europe,115,7,7,108,108,115,0,Human Factor
1987-11-29 00:00:00,Korean Air,Flight,Commercial,World,World,115,11,11,104,104,115,0,Terrorism
2007-05-05 00:00:00,Kenya Airways,Takeoff (climb),Commercial,Cameroon,Africa,114,6,6,108,108,114,0,Human Factor
1962-06-22 00:00:00,Air France,Landing (descent or approach),Commercial,Guadeloupe,Central America,113,10,10,103,103,113,0,Other
1975-06-24 00:00:00,Eastern Airlines,Landing (descent or approach),Commercial,United States of America,North America,124,8,6,116,107,113,11,Weather
1976-09-10 00:00:00,Inex-Adria Airways,Flight,Commercial,Croatia,Europe,113,5,5,108,108,113,0,Human Factor
1992-07-31 00:00:00,Thai Airways International,Landing (descent or approach),Commercial,Nepal,Asia,113,14,14,99,99,113,0,Human Factor
2006-05-03 00:00:00,Armavia,Landing (descent or approach),Commercial,Russia,Asia,113,8,8,105,105,113,0,Human Factor
1970-07-03 00:00:00,Dan-Air London,Landing (descent or approach),Commercial,Spain,Europe,112,7,7,105,105,112,0,Human Factor
1972-03-14 00:00:00,Sterling Airways,Flight,Commercial,United Arab Emirates,Asia,112,6,6,106,106,112,0,Human Factor
1982-04-26 00:00:00,CAAC - Civil Aviation Administration of China,Flight,Commercial,China,Asia,112,8,8,104,104,112,0,Human Factor
1983-09-23 00:00:00,Gulf Air,Landing (descent or approach),Commercial,United Arab Emirates,Asia,112,6,6,106,106,112,0,Terrorism
2002-05-07 00:00:00,China Northern Airlines,Landing (descent or approach),Commercial,China,Asia,112,9,9,103,103,112,0,Terrorism
2018-05-18 00:00:00,Cubana de Aviación,Takeoff (climb),Commercial,Cuba,Central America,113,6,6,107,106,112,1,Human Factor
1962-03-04 00:00:00,Caledonian Airways,Takeoff (climb),Commercial,Cameroon,Africa,111,10,10,101,101,111,0,Unknown
1971-09-04 00:00:00,Alaska Airlines,Landing (descent or approach),Commercial,United States of America,North America,111,7,7,104,104,111,0,Human Factor
1976-03-06 00:00:00,Aeroflot - Russian International Airlines,Flight,Commercial,Russia,Asia,111,11,11,100,100,111,0,Technical Failure
1989-07-19 00:00:00,United Airlines,Landing (descent or approach),Commercial,United States of America,North America,296,11,1,285,110,111,185,Technical Failure
1981-08-22 00:00:00,Far Eastern Air Transport - FAT,Flight,Commercial,Taiwan,Asia,110,6,6,104,104,110,0,Technical Failure
1984-12-23 00:00:00,Aeroflot - Russian International Airlines,Landing (descent or approach),Commercial,Russia,Asia,111,7,7,104,103,110,1,Technical Failure
1996-05-11 00:00:00,ValuJet,Flight,Commercial,United States of America,North America,110,5,5,105,105,110,0,Technical Failure
2001-10-08 00:00:00,Scandinavian Airlines System - SAS,Takeoff (climb),Commercial,Italy,Europe,110,6,6,104,104,110,0,Human Factor
1970-07-05 00:00:00,Air Canada,Landing (descent or approach),Commercial,Canada,North America,109,9,9,100,100,109,0,Human Factor
1972-10-01 00:00:00,Aeroflot - Russian International Airlines,Takeoff (climb),Commercial,Russia,Asia,109,8,8,101,101,109,0,Unknown
1974-04-27 00:00:00,Aeroflot - Russian International Airlines,Landing (descent or approach),Commercial,Russia,Asia,109,7,7,102,102,109,0,Technical Failure
2000-07-25 00:00:00,Air France,Takeoff (climb),Commercial,France,Europe,109,9,9,100,100,109,0,Technical Failure
1973-02-21 00:00:00,Libyan Arab Airlines,Flight,Commercial,Egypt,Africa,113,9,8,104,100,108,5,Terrorism
1973-04-10 00:00:00,Invicta International Airways,Landing (descent or approach),Commercial,Switzerland,Europe,145,6,4,139,104,108,37,Human Factor
1973-09-30 00:00:00,Aeroflot - Russian International Airlines,Takeoff (climb),Commercial,Russia,Asia,108,8,8,100,100,108,0,Technical Failure
1978-12-23 00:00:00,Alitalia - Linee Aeree Italiane,Landing (descent or approach),Commercial,Italy,Europe,129,5,5,124,103,108,21,Human Factor
